iter	Passed	Remaining
363	103336	38609
364	103745	38371
365	104185	38144
366	104613	37911
367	105026	37672
368	105537	37467
369	106010	37246
370	106478	37023
371	106996	36815
372	107509	36604
373	108011	36388
374	108524	36174
375	109015	35951
376	109494	35723
377	109960	35489
378	110446	35261
379	110876	35013
380	111327	34771
381	111827	34543
382	112308	34308
383	112837	34086
384	113337	33854
385	113893	33636
386	114430	33412
387	114882	33162
388	115309	32903
389	115768	32652
390	116252	32407
391	116782	32174
392	117280	31931
393	117719	31670
394	118132	31402
395	118614	31151
396	119084	30896
397	119597	30650
398	120110	30403
399	120680	30170
400	121175	29916
401	121621	29648
402	122128	29395
403	122661	29147
404	123127	28881
405	123661	28630
406	124089	28354
407	124597	28095
408	125109	27836
409	125595	27569
410	126123	27311
411	126613	27043
412	127056	26765
413	127548	26495
414	128043	26225
415	128531	25953
416	129035	25683
417	129548	25413
418	130024	25136
419	130567	24869
420	130993	24580
421	131476	24301
422	131968	24022
423	132493	23748
424	132956	23462
425	133474	23185
426	133892	22890
427	134387	22607
428	134828	22314
429	135314	22027
430	135694	21723
431	136219	21442
432	136727	21156
433	137189	20862
434	137663	20570
435	138121	20274
436	138628	19985
437	139096	19689
438	139522	19386
439	139996	19090
440	140419	18786
441	140930	18493
442	141377	18190
443	141805	17885
444	142279	17585
445	142745	17283
446	143228	16982
447	143732	16683
448	144208	16379
449	144668	16074
450	145162	15771
451	145637	15465
452	146130	15161
453	146615	14855
454	147232	14561
455	147692	14250
456	148117	13936
457	148568	13624
458	149042	13313
459	149516	13001
460	150012	12690
461	150456	12375
462	150886	12057
463	151276	11736
464	151738	11421
465	152186	11103
466	152668	10788
467	153188	10474
468	153677	10157
469	154150	9839
470	154613	9519
471	155128	9202
472	155585	8881
473	156045	8559
474	156492	8236
475	157004	7916
476	157538	7596
477	157902	7267
478	158395	6944
479	158913	6621
480	159368	6295
481	159755	5965
482	160212	5638
483	160702	5312
484	161166	4984
485	161648	4656
486	162172	4329
487	162641	3999
488	163125	3669
489	163668	3340
490	164177	3009
491	164602	2676
492	165153	2344
493	165654	2011
494	166167	1678
495	166667	1344
496	167053	1008
497	167263	671
498	167467	335
499	167663	0
