iter	Logloss
0	0.6102102613
1	0.555883269
2	0.5080837255
3	0.4735948897
4	0.4481183072
5	0.4276141354
6	0.4123911913
7	0.3981827036
8	0.3887059657
9	0.3796775056
10	0.3723559045
11	0.3673674538
12	0.3617536172
13	0.3576816866
14	0.3532368777
15	0.349512434
16	0.3454800053
17	0.3444678524
18	0.3414948783
19	0.3391225682
20	0.3352299253
21	0.3326866717
22	0.3311409784
23	0.3294637241
24	0.3276680657
25	0.3263032958
26	0.3248183497
27	0.3235569965
28	0.3221330143
29	0.3209439971
30	0.3196807445
31	0.319448316
32	0.3193351432
33	0.3180143689
34	0.316726446
35	0.3165674889
36	0.3154791928
37	0.3138723769
38	0.3129572985
39	0.3120137033
40	0.3110956952
41	0.3106488471
42	0.309842413
43	0.3082925609
44	0.307748774
45	0.3076527147
46	0.3057528258
47	0.3052358187
48	0.3045703999
49	0.3041026249
50	0.3031245266
51	0.3024662519
52	0.3015362454
53	0.3002254586
54	0.2997031798
55	0.2993978041
56	0.2993270221
57	0.2992989609
58	0.2979819571
59	0.2971616767
60	0.2965296214
61	0.2960002447
62	0.2954325504
63	0.294552372
64	0.2945457592
65	0.294354547
66	0.293894607
67	0.2932916092
68	0.2932563337
69	0.2924118019
70	0.2914931767
71	0.2914493728
72	0.2911109838
73	0.289804056
74	0.2894063622
75	0.2892735063
76	0.2888186685
77	0.2888013613
78	0.2887743075
79	0.2883156346
80	0.2883100648
81	0.288279221
82	0.2874243583
83	0.2871936412
84	0.2871499209
85	0.2871318419
86	0.2871254795
87	0.286737839
88	0.2867376672
89	0.2867138974
90	0.2866294903
91	0.2864498089
92	0.2858962196
93	0.2856791289
94	0.285448329
95	0.2850954996
96	0.2843963018
97	0.2837749735
98	0.2837390989
99	0.2830223777
100	0.2819674342
101	0.2814976508
102	0.2814976467
103	0.2810054727
104	0.2807153917
105	0.2798280809
106	0.2792817733
107	0.2787895614
108	0.2784488158
109	0.2782624702
110	0.2776945931
111	0.2775342837
112	0.276722262
113	0.2761399348
114	0.2761399281
115	0.275589272
116	0.2749586925
117	0.2746417078
118	0.2745724193
119	0.2745108102
120	0.2732797356
121	0.2727118866
122	0.2726361879
123	0.2726265277
124	0.2718417826
125	0.2708012726
126	0.2705456125
127	0.2700081731
128	0.2694324951
129	0.2690357687
130	0.2684684659
131	0.2679761363
132	0.2674392101
133	0.2669676067
134	0.2659654335
135	0.265124019
136	0.2645854082
137	0.263934478
138	0.2631277881
139	0.2627193106
140	0.262000142
141	0.2614879092
142	0.2611181668
143	0.2608130793
144	0.2604202345
145	0.2599566957
146	0.2591329183
147	0.2586385928
148	0.2584551189
149	0.2573665246
150	0.2568635405
151	0.2564874869
152	0.2555329719
153	0.2550194015
154	0.2544271627
155	0.2539304409
156	0.2536941876
157	0.2532941144
158	0.2529617262
159	0.2522441696
160	0.251583793
161	0.2510215834
162	0.2504295395
163	0.2497040637
164	0.2491032949
165	0.2480383372
166	0.2468525572
167	0.2463295122
168	0.2458566634
169	0.2450866875
170	0.2443954396
171	0.2440961019
172	0.2436043956
173	0.2425625187
174	0.241438841
175	0.2411212932
176	0.2406552077
177	0.2400069003
178	0.2395353775
179	0.2389994973
180	0.2385068135
181	0.2382256114
182	0.2373833819
183	0.2368481509
184	0.2366626779
185	0.2356245234
186	0.2353228753
187	0.2346509164
188	0.2342191642
189	0.2337484175
190	0.2331429486
191	0.2326524045
192	0.2324009247
193	0.2317702028
194	0.2315721631
195	0.231210645
196	0.2302277004
197	0.2292136443
198	0.2287787395
199	0.2281086477
200	0.2277855517
201	0.2268278002
202	0.2264912864
203	0.2259730599
204	0.2256692121
205	0.2253328748
206	0.2250236491
207	0.2244114918
208	0.224115211
209	0.2235278001
210	0.2230083397
211	0.222562965
212	0.2223706456
213	0.2218796041
214	0.2215304939
215	0.2213958307
216	0.2210920218
217	0.2208547973
218	0.2202948222
219	0.219868802
220	0.2194648848
221	0.2193242441
222	0.2190167763
223	0.2185000441
224	0.2178610862
225	0.2173061979
226	0.217086962
227	0.2165043281
228	0.2162387917
229	0.216068345
230	0.215734927
231	0.2152915453
