iter	Logloss
0	0.6357977003
1	0.5884389303
2	0.5556317453
3	0.5268584122
4	0.5016527002
5	0.4787269046
6	0.4617026588
7	0.4476531575
8	0.4372535065
9	0.427270764
10	0.418004986
11	0.409872959
12	0.4036506216
13	0.3990270514
14	0.3933144329
15	0.3897378774
16	0.3858861763
17	0.3827171606
18	0.3795882934
19	0.3767341771
20	0.3743689604
21	0.3720884118
22	0.3700474571
23	0.3680427216
24	0.3663999718
25	0.3647062982
26	0.3631243727
27	0.3614845876
28	0.3601121433
29	0.358564616
30	0.3574505878
31	0.3566195544
32	0.3557413076
33	0.3545267394
34	0.3537353343
35	0.3526710669
36	0.3516101528
37	0.3512229936
38	0.3503816089
39	0.3489903177
40	0.3480290038
41	0.3472145689
42	0.3466350282
43	0.3459695465
44	0.3452971019
45	0.344430608
46	0.3439705779
47	0.3433210072
48	0.3428206532
49	0.3423255344
50	0.3415181953
51	0.3412576305
52	0.340795991
53	0.340019537
54	0.3396351795
55	0.3393583459
56	0.3389604977
57	0.3386723735
58	0.3384391211
59	0.3380522755
60	0.3377406023
61	0.3374087477
62	0.3371184956
63	0.3365002856
64	0.3361599692
65	0.3359123933
66	0.3355706012
67	0.3350706872
68	0.3350117072
69	0.3346047446
70	0.3340733877
71	0.3338173368
72	0.3336161469
73	0.3334651454
74	0.3332972399
75	0.3327976865
76	0.3325240989
77	0.3323102761
78	0.3320547209
79	0.3317668416
80	0.3314394465
81	0.3310844252
82	0.3310320799
83	0.3308010259
84	0.3305427672
85	0.3303242278
86	0.3302721045
87	0.3298347964
88	0.3298155207
89	0.3294466308
90	0.3293125367
91	0.3292136119
92	0.3291103325
93	0.3288843149
94	0.3286476485
95	0.3282940099
96	0.3280988774
97	0.3278756271
98	0.3277464809
99	0.3275053408
100	0.3272308787
101	0.3268753775
102	0.3267448274
103	0.3264556745
104	0.3263704624
105	0.3262552597
106	0.3258514898
107	0.3255999436
108	0.3254213545
109	0.3250868476
110	0.3250507943
111	0.3249793365
112	0.3247394767
113	0.3244739541
114	0.3243693578
115	0.3241537903
116	0.3238449437
117	0.3238225294
118	0.3238113527
119	0.3237929823
120	0.3237346942
121	0.3234850639
122	0.3234495799
123	0.3231487177
124	0.3230275722
125	0.3228295748
126	0.3227036096
127	0.3225874858
128	0.3223533795
129	0.3221441628
130	0.3219844772
131	0.3218644075
132	0.3217718532
133	0.3215663239
134	0.3213984599
135	0.3212263078
136	0.3210403139
137	0.3207404233
138	0.320317224
139	0.3201293296
140	0.319900871
141	0.3196101248
142	0.3194459339
143	0.3193196049
144	0.3189906697
145	0.3183390438
146	0.3181928112
147	0.3179435273
148	0.317650321
149	0.3174505908
150	0.3174339792
151	0.3171447463
152	0.3168434377
153	0.3166708403
154	0.3164983412
155	0.3163679605
156	0.3159383255
157	0.3157677903
158	0.3154806017
159	0.3152632109
160	0.3150546592
161	0.3149632775
162	0.314604042
163	0.3144039029
164	0.3142685801
165	0.3140568742
166	0.3139392809
167	0.3137375443
168	0.3136298748
169	0.3135065022
170	0.3133680672
171	0.3131010315
172	0.312880684
173	0.3126252183
174	0.3124549819
175	0.3122839792
176	0.3120405232
177	0.3119568482
